#{"t_start": 1710787735.6762125, "env_id": "None"}
r,l,t
-11908.6,275,226.391233
-1350.9,57,226.465478
-4857.5,133,226.619813
-7158.6,180,226.889972
-3307.5,102,227.064721
-1102.0,53,227.139111
-4656.4,128,227.271262
-2706.4,89,227.36397
-2757.5,91,227.503931
-1703.1,66,227.63754
-4258.6,122,227.763028
-1452.0,60,227.826078
-1204.2,57,227.924003
-1803.1,68,228.055717
-193.2,27,228.098913
-4957.5,135,228.341405
-1347.6,54,228.436267
-2454.2,82,228.587773
-3156.4,98,228.747673
-2002.0,71,228.819873
-1856.4,72,228.906196
-2456.4,84,229.020267
-1605.3,66,229.08668
-1252.0,56,229.176019
-902.0,49,231.398768
-2005.3,74,231.49271
-195.4,29,231.531419
-4507.5,126,231.712601
-1903.1,70,231.83598
-8957.5,215,232.148383
-4107.5,118,232.336722
-645.4,38,232.427309
-1702.0,65,232.581665
-2555.3,85,232.724992
-1198.7,52,232.834324
-334.4,22,232.874526
-6508.6,167,233.078984
-545.4,36,233.125362
-2755.3,89,233.236423
-746.5,41,233.280025
